"No.","Time","Source","Destination","Protocol","Length","Info"
"15772","104.075577000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15774","104.077458000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15776","104.077643000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15777","104.079397000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15778","104.079401000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15780","104.082438000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15782","104.082589000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15783","104.083164000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15785","104.083479000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15786","104.086837000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15787","104.086841000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15789","104.086966000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15792","104.088459000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15794","104.088860000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15795","104.089117000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15797","104.090814000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15798","104.091014000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15800","104.092791000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15801","104.092795000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15803","104.094484000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15805","104.094747000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
